Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	16	30	2
# contigs (>= 1000 bp)	3	3	5	2
# contigs (>= 5000 bp)	1	1	3	1
# contigs (>= 10000 bp)	1	1	2	1
# contigs (>= 25000 bp)	1	1	2	1
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	43203	43203	90684	39883
Total length (>= 1000 bp)	43203	41025	87657	39883
Total length (>= 5000 bp)	37697	37697	79217	37697
Total length (>= 10000 bp)	37697	37697	73773	37697
Total length (>= 25000 bp)	37697	37697	73773	37697
Total length (>= 50000 bp)	0	0	0	0
# contigs	3	16	30	2
Largest contig	37697	37697	41632	37697
Total length	43203	43203	90684	39883
Reference length	39943	39943	39943	39943
GC (%)	42.56	42.56	47.12	41.89
Reference GC (%)	41.92	41.92	41.92	41.92
N50	37697	37697	32141	37697
NG50	37697	37697	41632	37697
N75	37697	37697	32141	37697
NG75	37697	37697	41632	37697
L50	1	1	2	1
LG50	1	1	1	1
L75	1	1	2	1
LG75	1	1	1	1
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	2 + 0 part	15 + 0 part	28 + 0 part	0 + 0 part
Unaligned length	5506	5506	53099	0
Genome fraction (%)	94.377	94.377	94.097	99.850
Duplication ratio	1.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	108.07	0.00
# mismatches per 100 kbp	0.00	0.00	0.00	0.00
# indels per 100 kbp	0.00	0.00	0.00	0.00
Largest alignment	37697	37697	32141	37697
Total aligned length	37697	37697	37585	39883
NA50	37697	37697	-	37697
NGA50	37697	37697	32141	37697
NA75	37697	37697	-	37697
NGA75	37697	37697	32141	37697
LA50	1	1	-	1
LGA50	1	1	1	1
LA75	1	1	-	1
LGA75	1	1	1	1
