Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	11	27	3
# contigs (>= 1000 bp)	3	4	6	3
# contigs (>= 5000 bp)	2	1	2	3
# contigs (>= 10000 bp)	1	1	2	3
# contigs (>= 25000 bp)	1	1	2	3
# contigs (>= 50000 bp)	1	1	2	2
Total length (>= 0 bp)	124179	124179	222843	233982
Total length (>= 1000 bp)	124179	122687	214204	233982
Total length (>= 5000 bp)	122225	113852	203192	233982
Total length (>= 10000 bp)	113852	113852	203192	233982
Total length (>= 25000 bp)	113852	113852	203192	233982
Total length (>= 50000 bp)	113852	113852	203192	206491
# contigs	3	11	27	3
Largest contig	113852	113852	113868	113852
Total length	124179	124179	222843	233982
Reference length	215053	215053	215053	215053
GC (%)	53.43	53.43	51.93	52.15
Reference GC (%)	52.64	52.64	52.64	52.64
N50	113852	113852	113868	92639
NG50	113852	113852	113868	113852
N75	113852	113852	89324	92639
NG75	-	-	89324	92639
L50	1	1	1	2
LG50	1	1	1	1
L75	1	1	2	2
LG75	-	-	2	2
# misassemblies	0	0	1	0
# misassembled contigs	0	0	1	0
Misassembled contigs length	0	0	89324	0
# local misassemblies	0	0	1	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	1 + 0 part	8 + 0 part	24 + 0 part	0 + 1 part
Unaligned length	8373	8557	18122	26837
Genome fraction (%)	53.850	53.764	95.783	96.323
Duplication ratio	1.000	1.000	1.001	1.000
# N's per 100 kbp	0.00	0.00	87.51	0.00
# mismatches per 100 kbp	10.36	8.65	21.85	13.52
# indels per 100 kbp	0.00	0.00	0.97	0.00
Largest alignment	113852	113852	113768	113852
Total aligned length	115806	115621	204621	207145
NA50	113852	113852	113768	92639
NGA50	113852	113852	113768	113852
NA75	113852	113852	54654	92639
NGA75	-	-	54654	92639
LA50	1	1	1	2
LGA50	1	1	1	1
LA75	1	1	2	2
LGA75	-	-	2	2
