Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	5	87	85	4
# contigs (>= 1000 bp)	5	27	23	4
# contigs (>= 5000 bp)	4	15	11	4
# contigs (>= 10000 bp)	4	8	6	3
# contigs (>= 25000 bp)	4	1	3	1
# contigs (>= 50000 bp)	3	0	1	0
Total length (>= 0 bp)	230600	230600	268021	66461
Total length (>= 1000 bp)	230600	210684	250733	66461
Total length (>= 5000 bp)	228138	181848	211597	66461
Total length (>= 10000 bp)	228138	130458	170857	58178
Total length (>= 25000 bp)	228138	35121	116456	35121
Total length (>= 50000 bp)	190746	0	58972	0
# contigs	5	87	85	4
Largest contig	66153	35121	58972	35121
Total length	230600	230600	268021	66461
Reference length	116529	116529	116529	116529
GC (%)	48.86	48.86	47.96	43.61
Reference GC (%)	50.65	50.65	50.65	50.65
N50	64906	10869	24727	35121
NG50	66153	16356	58972	8283
N75	59687	5236	8283	10886
NG75	64906	12171	30469	-
L50	2	7	4	1
LG50	1	3	1	4
L75	3	14	10	3
LG75	2	5	2	-
# misassemblies	15	0	0	0
# misassembled contigs	3	0	0	0
Misassembled contigs length	168451	0	0	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	1 + 2 part	24 + 0 part	62 + 1 part	2 + 0 part
Unaligned length	61422	61599	154957	47292
Genome fraction (%)	99.545	99.483	99.953	16.450
Duplication ratio	1.503	2.226	1.059	1.000
# N's per 100 kbp	0.00	0.00	110.07	0.00
# mismatches per 100 kbp	13.02	3.45	10.30	0.00
# indels per 100 kbp	2.60	1.73	1.72	0.00
Largest alignment	31438	17903	30469	10886
Total aligned length	169178	168999	113064	19169
NA50	9104	5236	-	-
NGA50	17944	10886	12982	-
NGA75	11715	8283	5488	-
LA50	8	11	-	-
LGA50	3	4	3	-
LGA75	5	7	7	-
