Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	11	69	39	9
# contigs (>= 1000 bp)	11	25	22	9
# contigs (>= 5000 bp)	10	14	15	7
# contigs (>= 10000 bp)	6	8	8	6
# contigs (>= 25000 bp)	4	5	4	5
# contigs (>= 50000 bp)	2	1	2	1
Total length (>= 0 bp)	369870	369870	358416	268719
Total length (>= 1000 bp)	369870	360413	353406	268719
Total length (>= 5000 bp)	367379	334653	331309	263481
Total length (>= 10000 bp)	330900	290920	277355	258304
Total length (>= 25000 bp)	307745	245939	214205	245939
Total length (>= 50000 bp)	235082	92436	144290	92436
# contigs	11	69	39	9
Largest contig	168258	92436	92690	92436
Total length	369870	369870	358416	268719
Reference length	381641	381641	381641	381641
GC (%)	51.79	51.79	50.53	51.12
Reference GC (%)	51.91	51.91	51.91	51.91
N50	66824	34434	35172	48377
NG50	66824	34434	34743	34434
N75	35197	12365	12185	34434
NG75	35197	12058	9990	-
L50	2	4	3	2
LG50	2	4	4	4
L75	4	7	8	4
LG75	4	8	9	-
# misassemblies	8	3	3	3
# misassembled contigs	4	2	2	2
Misassembled contigs length	280577	126870	127433	126870
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	1 + 1 part	25 + 1 part	2 + 3 part	1 + 0 part
Unaligned length	22767	23638	36815	2532
Genome fraction (%)	91.132	92.727	84.634	69.748
Duplication ratio	1.014	1.111	1.026	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	9.28	7.06	56.35	3.01
# indels per 100 kbp	1.45	1.41	1.24	0.00
Largest alignment	64146	63184	63311	63184
Total aligned length	347103	346232	321497	266187
NA50	37466	29309	19447	37466
NGA50	37466	29309	19447	29309
NA75	12857	8396	8849	29309
NGA75	12857	7727	7102	-
LA50	4	5	5	3
LGA50	4	5	5	5
LA75	7	10	11	5
LGA75	7	11	14	-
