Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	13	102	112	11
# contigs (>= 1000 bp)	13	31	26	11
# contigs (>= 5000 bp)	10	15	17	9
# contigs (>= 10000 bp)	8	12	12	7
# contigs (>= 25000 bp)	5	5	6	4
# contigs (>= 50000 bp)	4	2	3	2
Total length (>= 0 bp)	467054	467054	491034	303460
Total length (>= 1000 bp)	467054	448832	465705	303460
Total length (>= 5000 bp)	458991	404724	444364	296797
Total length (>= 10000 bp)	446955	383526	411547	283944
Total length (>= 25000 bp)	395237	276768	320899	242525
Total length (>= 50000 bp)	358242	161894	225364	161894
# contigs	13	102	112	11
Largest contig	114895	108986	109113	108986
Total length	467054	467054	491034	303460
Reference length	458871	458871	458871	458871
GC (%)	48.00	48.00	48.33	47.51
Reference GC (%)	47.94	47.94	47.94	47.94
N50	74182	34243	35636	52908
NG50	74182	34243	35636	32311
N75	60179	12725	14887	32311
NG75	60179	14633	15777	-
L50	3	4	4	2
LG50	3	4	4	4
L75	4	10	9	4
LG75	4	9	8	-
# misassemblies	9	0	18	0
# misassembled contigs	5	0	18	0
Misassembled contigs length	240795	0	39527	0
# local misassemblies	0	0	6	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	3 + 1 part	27 + 0 part	4 + 3 part	2 + 0 part
Unaligned length	18854	19250	23895	9365
Genome fraction (%)	97.046	97.895	99.998	64.043
Duplication ratio	1.006	1.066	1.069	1.001
# N's per 100 kbp	0.00	0.00	40.32	0.00
# mismatches per 100 kbp	8.53	7.57	34.43	0.00
# indels per 100 kbp	1.80	1.11	1.53	0.00
Largest alignment	108766	108766	109113	108766
Total aligned length	447732	447584	466999	293875
NA50	60179	34243	34993	52908
NGA50	60179	34243	34993	32311
NA75	19169	12725	14887	32311
NGA75	32097	14633	15777	-
LA50	3	4	4	2
LGA50	3	4	4	4
LA75	6	10	9	4
LGA75	5	9	8	-
