Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	6	43	3	4
# contigs (>= 1000 bp)	6	17	3	4
# contigs (>= 5000 bp)	5	6	1	3
# contigs (>= 10000 bp)	2	4	1	3
# contigs (>= 25000 bp)	1	3	1	3
# contigs (>= 50000 bp)	1	2	0	2
Total length (>= 0 bp)	302919	302919	50175	234644
Total length (>= 1000 bp)	302919	293843	50175	234644
Total length (>= 5000 bp)	300700	266180	42779	230548
Total length (>= 10000 bp)	281136	251363	42779	230548
Total length (>= 25000 bp)	260268	230548	42779	230548
Total length (>= 50000 bp)	260268	191143	0	191143
# contigs	6	43	3	4
Largest contig	260268	131462	42779	131462
Total length	302919	302919	50175	234644
Reference length	311104	311104	311104	311104
GC (%)	46.00	46.00	43.45	45.18
Reference GC (%)	46.14	46.14	46.14	46.14
N50	260268	59681	42779	131462
NG50	260268	59681	-	59681
N75	260268	39405	42779	59681
NG75	260268	20815	-	4096
L50	1	2	1	1
LG50	1	2	-	2
L75	1	3	1	2
LG75	1	4	-	4
# misassemblies	8	3	0	3
# misassembled contigs	1	1	0	1
Misassembled contigs length	260268	131462	0	131462
# local misassemblies	0	0	3	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	11 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	338	0	0
Genome fraction (%)	96.834	96.223	16.006	75.423
Duplication ratio	1.006	1.085	1.008	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	27.55	2.34	0.00	0.00
# indels per 100 kbp	1.33	0.00	0.00	0.00
Largest alignment	85725	84883	42779	84883
Total aligned length	302919	302581	50146	234644
NA50	41231	39405	42779	59681
NGA50	41231	39405	-	39405
NA75	20868	20815	42779	39405
NGA75	20868	20815	-	3927
LA50	3	3	1	2
LGA50	3	3	-	3
LA75	5	5	1	3
LGA75	5	5	-	7
