Assembly	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	562	7
# contigs (>= 1000 bp)	87	7
# contigs (>= 5000 bp)	26	1
# contigs (>= 10000 bp)	11	0
# contigs (>= 25000 bp)	3	0
# contigs (>= 50000 bp)	1	0
Total length (>= 0 bp)	572776	25379
Total length (>= 1000 bp)	489481	25379
Total length (>= 5000 bp)	345013	7181
Total length (>= 10000 bp)	235504	0
Total length (>= 25000 bp)	119548	0
Total length (>= 50000 bp)	54681	0
# contigs	562	7
Largest contig	54681	7181
Total length	572776	25379
Reference length	430944	430944
GC (%)	36.56	33.41
Reference GC (%)	35.58	35.58
N50	7768	3348
NG50	12165	-
N75	2498	3251
NG75	5789	-
L50	17	3
LG50	10	-
L75	51	5
LG75	23	-
# misassemblies	2	1
# misassembled contigs	2	1
Misassembled contigs length	5517	3251
# local misassemblies	1	0
# unaligned mis. contigs	0	0
# unaligned contigs	291 + 7 part	2 + 0 part
Unaligned length	372981	4649
Genome fraction (%)	55.464	4.810
Duplication ratio	1.112	1.000
# N's per 100 kbp	18.68	0.00
# mismatches per 100 kbp	83.68	130.25
# indels per 100 kbp	4.60	0.00
Largest alignment	14479	7181
Total aligned length	199278	20730
NA50	-	3348
NGA50	-	-
NA75	-	2886
LA50	-	3
LA75	-	5
