Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	4	37	10	10
# contigs (>= 1000 bp)	4	13	6	10
# contigs (>= 5000 bp)	3	8	4	9
# contigs (>= 10000 bp)	3	6	3	7
# contigs (>= 25000 bp)	1	2	2	4
# contigs (>= 50000 bp)	1	0	0	1
Total length (>= 0 bp)	186059	186059	102671	278299
Total length (>= 1000 bp)	186059	180026	101035	278299
Total length (>= 5000 bp)	183979	168315	97981	274125
Total length (>= 10000 bp)	183979	154502	92687	262861
Total length (>= 25000 bp)	150427	89142	76001	217687
Total length (>= 50000 bp)	150427	0	0	95820
# contigs	4	37	10	10
Largest contig	150427	46582	43022	95820
Total length	186059	186059	102671	278299
Reference length	227509	227509	227509	227509
GC (%)	50.51	50.51	46.70	49.08
Reference GC (%)	49.07	49.07	49.07	49.07
N50	150427	19717	32979	46582
NG50	150427	18072	-	46582
N75	150427	16559	16686	32725
NG75	16559	4174	-	42560
L50	1	3	2	2
LG50	1	4	-	2
L75	1	5	3	4
LG75	3	9	-	3
# misassemblies	5	0	0	0
# misassembled contigs	2	0	0	0
Misassembled contigs length	167420	0	0	0
# local misassemblies	1	0	1	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 1 part	3 + 0 part	1 + 0 part	2 + 0 part
Unaligned length	19990	19876	5294	100987
Genome fraction (%)	72.893	73.067	42.731	77.927
Duplication ratio	1.014	1.027	1.015	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	24.76	4.81	56.57	28.77
# indels per 100 kbp	0.60	0.60	0.00	1.13
Largest alignment	47590	46582	43022	46582
Total aligned length	166069	166183	97377	177312
NA50	27469	18072	32979	18072
NGA50	27469	16559	-	32725
NA75	16173	7716	16686	-
NGA75	-	-	-	6097
LA50	3	3	2	4
LGA50	3	4	-	3
LA75	5	6	3	-
LGA75	-	-	-	7
