Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	8	93	75	6
# contigs (>= 1000 bp)	8	34	29	6
# contigs (>= 5000 bp)	7	11	11	6
# contigs (>= 10000 bp)	7	5	6	3
# contigs (>= 25000 bp)	4	3	5	3
# contigs (>= 50000 bp)	4	3	3	3
Total length (>= 0 bp)	415327	415327	465980	295520
Total length (>= 1000 bp)	415327	401893	452698	295520
Total length (>= 5000 bp)	411779	348168	410837	295520
Total length (>= 10000 bp)	411779	311618	375319	276678
Total length (>= 25000 bp)	367933	276678	354346	276678
Total length (>= 50000 bp)	367933	276678	277074	276678
# contigs	8	93	75	6
Largest contig	117099	111395	111472	111395
Total length	415327	415327	465980	295520
Reference length	426463	426463	426463	426463
GC (%)	51.91	51.91	51.82	51.29
Reference GC (%)	51.91	51.91	51.91	51.91
N50	111395	103794	61642	103794
NG50	111395	103794	103960	103794
N75	57519	14124	31609	61489
NG75	57519	6251	45663	-
L50	2	2	3	2
LG50	2	2	2	2
L75	4	5	5	3
LG75	4	7	4	-
# misassemblies	9	0	2	0
# misassembled contigs	4	0	1	0
Misassembled contigs length	266668	0	31609	0
# local misassemblies	1	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 1 part	17 + 0 part	16 + 1 part	0 + 0 part
Unaligned length	879	633	62723	0
Genome fraction (%)	96.948	97.745	96.475	69.296
Duplication ratio	1.023	1.126	1.022	1.000
# N's per 100 kbp	0.00	0.00	82.62	0.00
# mismatches per 100 kbp	44.05	3.60	3.89	0.00
# indels per 100 kbp	2.90	0.24	0.49	0.00
Largest alignment	111395	111395	111472	111395
Total aligned length	414448	414694	402618	295520
NA50	108144	103794	61642	103794
NGA50	108144	103794	103960	103794
NA75	50809	14124	5033	61489
NGA75	50809	6251	20973	-
LA50	2	2	3	2
LGA50	2	2	2	2
LA75	4	5	10	3
LGA75	4	7	5	-
