Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	6	27	14	6
# contigs (>= 1000 bp)	6	14	5	6
# contigs (>= 5000 bp)	5	6	3	4
# contigs (>= 10000 bp)	4	6	3	4
# contigs (>= 25000 bp)	4	6	3	4
# contigs (>= 50000 bp)	3	1	2	1
Total length (>= 0 bp)	284479	284479	202428	182458
Total length (>= 1000 bp)	284479	281254	200555	182458
Total length (>= 5000 bp)	279653	264143	195840	176990
Total length (>= 10000 bp)	272007	264143	195840	176990
Total length (>= 25000 bp)	272007	264143	195840	176990
Total length (>= 50000 bp)	234310	52140	158016	52140
# contigs	6	27	14	6
Largest contig	91981	52140	94969	52140
Total length	284479	284479	202428	182458
Reference length	202127	202127	202127	202127
GC (%)	48.93	48.93	48.90	48.09
Reference GC (%)	48.97	48.97	48.97	48.97
N50	84969	42242	63047	44911
NG50	84969	44911	63047	42242
N75	57360	42242	63047	42242
NG75	84969	42242	63047	37697
L50	2	4	2	2
LG50	2	3	2	3
L75	3	5	2	3
LG75	2	4	2	4
# misassemblies	4	0	5	0
# misassembled contigs	4	0	5	0
Misassembled contigs length	241956	0	1089	0
# local misassemblies	0	0	4	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	2 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	22	0	0
Genome fraction (%)	96.906	97.266	98.963	90.269
Duplication ratio	1.452	1.459	1.012	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	7.15	0.51	2.50	0.00
# indels per 100 kbp	1.02	0.00	0.00	0.00
Largest alignment	54254	52140	94969	52140
Total aligned length	284479	284457	202367	182458
NA50	44892	42242	63047	44911
NGA50	47089	44911	63047	42242
NA75	42221	42242	63047	42242
NGA75	42748	42242	63047	37697
LA50	3	4	2	2
LGA50	2	3	2	3
LA75	5	5	2	3
LGA75	4	4	2	4
