Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	2	6	58	4
# contigs (>= 1000 bp)	2	4	8	4
# contigs (>= 5000 bp)	2	4	4	3
# contigs (>= 10000 bp)	2	3	4	3
# contigs (>= 25000 bp)	2	3	4	3
# contigs (>= 50000 bp)	1	0	2	0
Total length (>= 0 bp)	139288	139288	284953	133202
Total length (>= 1000 bp)	139288	138620	271828	133202
Total length (>= 5000 bp)	139288	138620	261397	131106
Total length (>= 10000 bp)	139288	131106	261397	131106
Total length (>= 25000 bp)	139288	131106	261397	131106
Total length (>= 50000 bp)	101591	0	191511	0
# contigs	2	6	58	4
Largest contig	101591	47453	101850	47453
Total length	139288	139288	284953	133202
Reference length	141516	141516	141516	141516
GC (%)	47.60	47.60	50.08	47.19
Reference GC (%)	47.74	47.74	47.74	47.74
N50	101591	45956	89661	45956
NG50	101591	45956	101850	45956
N75	37697	37697	37824	37697
NG75	37697	37697	89661	37697
L50	1	2	2	2
LG50	1	2	1	2
L75	2	3	3	3
LG75	2	3	2	3
# misassemblies	2	0	1	0
# misassembled contigs	1	0	1	0
Misassembled contigs length	101591	0	101850	0
# local misassemblies	0	0	2	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	53 + 0 part	0 + 0 part
Unaligned length	0	0	142586	0
Genome fraction (%)	98.426	98.519	100.000	94.125
Duplication ratio	1.000	1.000	1.007	1.000
# N's per 100 kbp	0.00	0.00	34.74	0.00
# mismatches per 100 kbp	0.00	0.00	0.71	0.00
# indels per 100 kbp	0.00	0.00	0.00	0.00
Largest alignment	53602	47453	101187	47453
Total aligned length	139288	139288	142259	133202
NA50	47453	45956	-	45956
NGA50	47453	45956	101187	45956
NA75	37697	37697	-	37697
NGA75	37697	37697	37824	37697
LA50	2	2	-	2
LGA50	2	2	1	2
LA75	3	3	-	3
LGA75	3	3	2	3
