Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	41	17	3
# contigs (>= 1000 bp)	3	27	15	3
# contigs (>= 5000 bp)	2	7	4	3
# contigs (>= 10000 bp)	2	6	3	3
# contigs (>= 25000 bp)	2	5	3	3
# contigs (>= 50000 bp)	1	2	2	1
Total length (>= 0 bp)	307203	307203	202704	142400
Total length (>= 1000 bp)	307203	300740	201630	142400
Total length (>= 5000 bp)	305357	256792	170715	142400
Total length (>= 10000 bp)	305357	251462	165131	142400
Total length (>= 25000 bp)	305357	235403	165131	142400
Total length (>= 50000 bp)	261736	119607	121383	60822
# contigs	3	41	17	3
Largest contig	261736	60822	65197	60822
Total length	307203	307203	202704	142400
Reference length	209428	209428	209428	209428
GC (%)	53.65	53.65	52.44	50.59
Reference GC (%)	52.68	52.68	52.68	52.68
N50	261736	43621	56186	43621
NG50	261736	58785	56186	37957
N75	261736	34218	43748	37957
NG75	261736	43621	43748	-
L50	1	3	2	2
LG50	1	2	2	3
L75	1	5	3	3
LG75	1	3	3	-
# misassemblies	8	0	0	0
# misassembled contigs	1	0	0	0
Misassembled contigs length	261736	0	0	0
# local misassemblies	0	0	1	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	1 + 1 part	7 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	94833	94849	0	0
Genome fraction (%)	98.955	100.000	100.000	67.995
Duplication ratio	1.025	1.189	1.015	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	1.45	2.86	33.42	0.00
# indels per 100 kbp	0.00	0.48	0.00	0.00
Largest alignment	65005	60822	65197	60822
Total aligned length	212370	212353	202704	142400
NA50	43621	16059	56186	43621
NGA50	50726	37957	56186	37957
NA75	-	-	43748	37957
NGA75	43621	16059	43748	-
LA50	3	4	2	2
LGA50	2	3	2	3
LA75	-	-	3	3
LGA75	3	4	3	-
