Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	9	71	174	2
# contigs (>= 1000 bp)	9	12	34	2
# contigs (>= 5000 bp)	5	5	13	2
# contigs (>= 10000 bp)	3	3	4	0
# contigs (>= 25000 bp)	2	2	1	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	126899	126899	244351	15812
Total length (>= 1000 bp)	126899	117450	196227	15812
Total length (>= 5000 bp)	113723	99442	143365	15812
Total length (>= 10000 bp)	101477	83630	82961	0
Total length (>= 25000 bp)	80436	62589	31765	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	9	71	174	2
Largest contig	48618	31569	31765	9244
Total length	126899	126899	244351	15812
Reference length	92583	92583	92583	92583
GC (%)	49.78	49.78	50.39	51.79
Reference GC (%)	47.82	47.82	47.82	47.82
N50	31818	21041	6337	9244
NG50	48618	31020	20299	-
N75	21041	6568	2162	6568
NG75	31818	21041	18937	-
L50	2	3	10	1
LG50	1	2	2	-
L75	3	5	26	2
LG75	2	3	3	-
# misassemblies	3	0	5	0
# misassembled contigs	1	0	4	0
Misassembled contigs length	48618	0	12947	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	2 + 3 part	34 + 0 part	131 + 9 part	0 + 0 part
Unaligned length	41461	41959	154505	0
Genome fraction (%)	88.307	87.431	88.112	17.079
Duplication ratio	1.085	1.085	1.142	1.000
# N's per 100 kbp	0.00	0.00	37.65	0.00
# mismatches per 100 kbp	61.16	4.94	230.46	0.00
# indels per 100 kbp	0.00	0.00	8.58	0.00
Largest alignment	32229	31569	31765	9244
Total aligned length	85401	84939	87524	15812
NA50	10208	6568	-	9244
NGA50	21041	21041	20299	-
NA75	-	-	-	6568
NGA75	6568	4319	4569	-
LA50	3	4	-	1
LGA50	2	2	2	-
LA75	-	-	-	2
LGA75	4	5	5	-
