Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	6	46	224	2
# contigs (>= 1000 bp)	6	8	42	2
# contigs (>= 5000 bp)	5	5	10	2
# contigs (>= 10000 bp)	3	3	4	0
# contigs (>= 25000 bp)	2	2	1	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	113834	113834	267527	15764
Total length (>= 1000 bp)	113834	108867	206228	15764
Total length (>= 5000 bp)	109973	100411	125361	15764
Total length (>= 10000 bp)	96974	84647	79633	0
Total length (>= 25000 bp)	74836	62509	31676	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	6	46	224	2
Largest contig	42601	31489	31676	9244
Total length	113834	113834	267527	15764
Reference length	92559	92559	92559	92559
GC (%)	49.02	49.02	50.55	51.83
Reference GC (%)	47.82	47.82	47.82	47.82
N50	32235	31020	4670	9244
NG50	32235	31020	22336	-
N75	22138	9244	1211	6520
NG75	32235	22138	11924	-
L50	2	2	12	1
LG50	2	2	2	-
L75	3	4	38	2
LG75	2	3	4	-
# misassemblies	1	0	5	0
# misassembled contigs	1	0	4	0
Misassembled contigs length	6479	0	14683	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	1	0	2	0
# unaligned contigs	0 + 2 part	18 + 1 part	166 + 14 part	0 + 0 part
Unaligned length	32205	32652	171349	0
Genome fraction (%)	86.482	86.872	92.322	17.031
Duplication ratio	1.020	1.039	1.169	1.000
# N's per 100 kbp	0.00	0.00	146.15	0.00
# mismatches per 100 kbp	26.23	9.95	218.84	0.00
# indels per 100 kbp	0.00	0.00	8.19	0.00
Largest alignment	32149	31489	31676	9244
Total aligned length	81570	81181	93989	15764
NA50	6520	9244	-	9244
NGA50	22138	22138	22336	-
NA75	-	-	-	6520
NGA75	5662	4319	6708	-
LA50	3	3	-	1
LGA50	2	2	2	-
LA75	-	-	-	2
LGA75	5	5	4	-
