Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	33	17	3
# contigs (>= 1000 bp)	3	22	15	3
# contigs (>= 5000 bp)	3	5	4	3
# contigs (>= 10000 bp)	2	4	3	3
# contigs (>= 25000 bp)	2	3	3	3
# contigs (>= 50000 bp)	1	2	2	1
Total length (>= 0 bp)	228894	228894	202704	142400
Total length (>= 1000 bp)	228894	222318	201630	142400
Total length (>= 5000 bp)	228894	184617	170715	142400
Total length (>= 10000 bp)	221562	179287	165131	142400
Total length (>= 25000 bp)	221562	163228	165131	142400
Total length (>= 50000 bp)	177941	119607	121383	60822
# contigs	3	33	17	3
Largest contig	177941	60822	65197	60822
Total length	228894	228894	202704	142400
Reference length	209428	209428	209428	209428
GC (%)	52.94	52.94	52.44	50.59
Reference GC (%)	52.68	52.68	52.68	52.68
N50	177941	58785	56186	43621
NG50	177941	58785	56186	37957
N75	177941	16059	43748	37957
NG75	177941	43621	43748	-
L50	1	2	2	2
LG50	1	2	2	3
L75	1	4	3	3
LG75	1	3	3	-
# misassemblies	6	0	0	0
# misassembled contigs	1	0	0	0
Misassembled contigs length	177941	0	0	0
# local misassemblies	0	0	1	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 1 part	1 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	58769	58785	0	0
Genome fraction (%)	79.635	81.310	100.000	67.995
Duplication ratio	1.020	1.198	1.015	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	5.40	3.52	33.42	0.00
# indels per 100 kbp	0.60	0.59	0.00	0.00
Largest alignment	65005	60822	65197	60822
Total aligned length	170125	170108	202704	142400
NA50	18810	16059	56186	43621
NGA50	43621	16059	56186	37957
NA75	-	-	43748	37957
NGA75	6150	1481	43748	-
LA50	3	3	2	2
LGA50	2	3	2	3
LA75	-	-	3	3
LGA75	7	17	3	-
