Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	36	210	3
# contigs (>= 1000 bp)	3	5	44	3
# contigs (>= 5000 bp)	2	3	8	3
# contigs (>= 10000 bp)	1	1	5	1
# contigs (>= 25000 bp)	1	0	0	1
# contigs (>= 50000 bp)	0	0	0	1
Total length (>= 0 bp)	51761	51761	244105	263896
Total length (>= 1000 bp)	51761	46822	189225	263896
Total length (>= 5000 bp)	46780	39440	106045	263896
Total length (>= 10000 bp)	40257	23672	85929	248128
Total length (>= 25000 bp)	40257	0	0	248128
Total length (>= 50000 bp)	0	0	0	248128
# contigs	3	36	210	3
Largest contig	40257	23672	23856	248128
Total length	51761	51761	244105	263896
Reference length	92596	92596	92596	92596
GC (%)	49.56	49.56	51.09	50.25
Reference GC (%)	47.82	47.82	47.82	47.82
N50	40257	9245	4276	248128
NG50	6523	3063	18937	248128
N75	40257	6523	1272	248128
NG75	-	-	11243	248128
L50	1	2	12	1
LG50	2	5	3	1
L75	1	3	39	1
LG75	-	-	4	1
# misassemblies	2	0	6	0
# misassembled contigs	1	0	6	0
Misassembled contigs length	40257	0	14190	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	2	0
# unaligned contigs	0 + 0 part	8 + 0 part	158 + 12 part	0 + 1 part
Unaligned length	0	590	158515	246817
Genome fraction (%)	54.651	54.722	81.190	18.442
Duplication ratio	1.023	1.041	1.156	1.000
# N's per 100 kbp	0.00	0.00	81.52	0.00
# mismatches per 100 kbp	45.45	7.89	234.11	111.26
# indels per 100 kbp	0.00	0.00	10.64	0.00
Largest alignment	24332	23672	23856	9245
Total aligned length	51301	51170	82969	17079
NA50	10157	9245	-	-
NGA50	5732	3063	9931	-
NA75	6523	6523	-	-
NGA75	-	-	3315	-
LA50	2	2	-	-
LGA50	4	5	3	-
LA75	3	3	-	-
LGA75	-	-	6	-
