Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	13	102	66	10
# contigs (>= 1000 bp)	13	26	31	10
# contigs (>= 5000 bp)	7	11	14	7
# contigs (>= 10000 bp)	7	3	5	4
# contigs (>= 25000 bp)	2	1	1	2
# contigs (>= 50000 bp)	1	1	1	2
Total length (>= 0 bp)	224658	224658	243296	229437
Total length (>= 1000 bp)	224658	207657	233658	229437
Total length (>= 5000 bp)	207629	173798	191524	217206
Total length (>= 10000 bp)	207629	110537	129243	197520
Total length (>= 25000 bp)	122979	72631	72885	162869
Total length (>= 50000 bp)	96980	72631	72885	162869
# contigs	13	102	66	10
Largest contig	96980	72631	72885	90238
Total length	224658	224658	243296	229437
Reference length	194892	194892	194892	194892
GC (%)	49.26	49.26	48.34	48.51
Reference GC (%)	47.99	47.99	47.99	47.99
N50	25999	9687	10495	72631
NG50	25999	16770	14190	72631
N75	15072	7097	5294	17881
NG75	24545	7742	9078	72631
L50	2	4	5	2
LG50	2	3	3	2
L75	5	10	13	3
LG75	3	7	7	2
# misassemblies	5	1	3	1
# misassembled contigs	3	1	3	1
Misassembled contigs length	135819	16770	29532	16770
# local misassemblies	0	0	0	0
# unaligned mis. contigs	2	0	4	0
# unaligned contigs	4 + 5 part	50 + 3 part	14 + 9 part	4 + 2 part
Unaligned length	78347	79125	71601	107741
Genome fraction (%)	76.236	75.080	84.994	62.245
Duplication ratio	1.071	1.103	1.102	1.003
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	87.79	21.19	226.99	28.85
# indels per 100 kbp	30.86	29.39	35.62	28.85
Largest alignment	73895	71119	71246	71119
Total aligned length	146148	145530	169950	121696
NA50	9818	7097	8785	7097
NGA50	24052	7732	14190	15070
NGA75	-	-	2512	-
LA50	4	6	5	5
LGA50	2	4	3	3
LGA75	-	-	10	-
