Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	3	28	66	10
# contigs (>= 1000 bp)	3	7	31	10
# contigs (>= 5000 bp)	2	2	14	7
# contigs (>= 10000 bp)	2	2	5	4
# contigs (>= 25000 bp)	2	1	1	2
# contigs (>= 50000 bp)	1	1	1	2
Total length (>= 0 bp)	113738	113738	243296	229437
Total length (>= 1000 bp)	113738	108135	233658	229437
Total length (>= 5000 bp)	111482	97611	191524	217206
Total length (>= 10000 bp)	111482	97611	129243	197520
Total length (>= 25000 bp)	111482	72631	72885	162869
Total length (>= 50000 bp)	77548	72631	72885	162869
# contigs	3	28	66	10
Largest contig	77548	72631	72885	90238
Total length	113738	113738	243296	229437
Reference length	194892	194892	194892	194892
GC (%)	48.79	48.79	48.34	48.51
Reference GC (%)	47.99	47.99	47.99	47.99
N50	77548	72631	10495	72631
NG50	33934	24980	14190	72631
N75	33934	24980	5294	17881
NG75	-	-	9078	72631
L50	1	1	5	2
LG50	2	2	3	2
L75	2	2	13	3
LG75	-	-	7	2
# misassemblies	1	0	3	1
# misassembled contigs	1	0	3	1
Misassembled contigs length	77548	0	29532	16770
# local misassemblies	0	0	0	0
# unaligned mis. contigs	1	0	4	0
# unaligned contigs	1 + 2 part	11 + 2 part	14 + 9 part	4 + 2 part
Unaligned length	34360	34303	71601	107741
Genome fraction (%)	40.798	40.788	84.994	62.245
Duplication ratio	1.040	1.076	1.102	1.003
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	41.50	35.22	226.99	28.85
# indels per 100 kbp	32.70	32.71	35.62	28.85
Largest alignment	71119	71119	71246	71119
Total aligned length	79378	79435	169950	121696
NA50	71119	71119	8785	7097
NGA50	-	-	14190	15070
NGA75	-	-	2512	-
LA50	1	1	5	5
LGA50	-	-	3	3
LGA75	-	-	10	-
