Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	5	38	21	2
# contigs (>= 1000 bp)	5	16	15	2
# contigs (>= 5000 bp)	4	8	10	2
# contigs (>= 10000 bp)	3	7	9	2
# contigs (>= 25000 bp)	3	4	4	1
# contigs (>= 50000 bp)	2	3	2	1
Total length (>= 0 bp)	319404	319404	379658	105255
Total length (>= 1000 bp)	319404	312480	377390	105255
Total length (>= 5000 bp)	316087	295250	364351	105255
Total length (>= 10000 bp)	307811	290154	359101	105255
Total length (>= 25000 bp)	307811	243533	280913	80948
Total length (>= 50000 bp)	275130	210852	213401	80948
# contigs	5	38	21	2
Largest contig	185118	80948	130652	80948
Total length	319404	319404	379658	105255
Reference length	322518	322518	322518	322518
GC (%)	50.41	50.41	50.11	49.51
Reference GC (%)	50.41	50.41	50.41	50.41
N50	185118	62557	82749	80948
NG50	185118	62557	82749	-
N75	90012	32681	24482	80948
NG75	90012	32681	34710	-
L50	1	3	2	1
LG50	1	3	2	-
L75	2	4	5	1
LG75	2	4	3	-
# misassemblies	4	0	0	0
# misassembled contigs	3	0	0	0
Misassembled contigs length	283406	0	0	0
# local misassemblies	1	0	2	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	6 + 0 part	4 + 1 part	0 + 0 part
Unaligned length	0	126	65006	0
Genome fraction (%)	98.773	99.406	97.533	32.635
Duplication ratio	1.003	1.084	1.013	1.000
# N's per 100 kbp	0.00	0.00	77.44	0.00
# mismatches per 100 kbp	10.36	1.87	53.73	0.00
# indels per 100 kbp	1.26	0.31	0.95	0.00
Largest alignment	172805	80948	130457	80948
Total aligned length	319404	319278	313789	105255
NA50	172805	62557	82133	80948
NGA50	172805	62557	82133	-
NA75	81082	32681	10128	80948
NGA75	81082	32681	32750	-
LA50	1	3	2	1
LGA50	1	3	2	-
LA75	2	4	6	1
LGA75	2	4	3	-
