Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	8	57	87	4
# contigs (>= 1000 bp)	8	25	25	4
# contigs (>= 5000 bp)	6	12	13	4
# contigs (>= 10000 bp)	5	7	7	3
# contigs (>= 25000 bp)	3	1	3	1
# contigs (>= 50000 bp)	1	0	1	0
Total length (>= 0 bp)	209835	209835	290528	75656
Total length (>= 1000 bp)	209835	195518	274012	75656
Total length (>= 5000 bp)	206097	164324	236863	75656
Total length (>= 10000 bp)	196541	125030	189214	67216
Total length (>= 25000 bp)	148931	35100	123461	35100
Total length (>= 50000 bp)	88821	0	61238	0
# contigs	8	57	87	4
Largest contig	88821	35100	61238	35100
Total length	209835	209835	290528	75656
Reference length	177752	177752	177752	177752
GC (%)	49.22	49.22	47.18	43.68
Reference GC (%)	47.82	47.82	47.82	47.82
N50	35100	12171	16692	19945
NG50	35100	16356	35208	-
N75	24016	8031	8283	12171
NG75	25010	9556	20218	-
L50	2	6	5	2
LG50	2	4	2	-
L75	4	11	11	3
LG75	3	8	4	-
# misassemblies	10	0	5	0
# misassembled contigs	2	0	4	0
Misassembled contigs length	113831	0	61916	0
# local misassemblies	0	0	2	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	2 + 1 part	10 + 0 part	54 + 1 part	0 + 0 part
Unaligned length	13171	13493	113960	0
Genome fraction (%)	97.864	98.609	99.833	42.562
Duplication ratio	1.131	1.539	1.043	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	13.22	1.71	37.76	0.00
# indels per 100 kbp	1.72	1.14	1.13	1.32
Largest alignment	36135	35100	60180	35100
Total aligned length	196664	196341	176554	75656
NA50	21668	12171	8283	19945
NGA50	24016	16356	35208	-
NA75	9671	4440	-	12171
NGA75	17531	8440	9602	-
LA50	4	6	7	2
LGA50	3	4	2	-
LA75	8	12	-	3
LGA75	5	8	5	-
