Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	1	1	3	2
# contigs (>= 1000 bp)	1	1	2	2
# contigs (>= 5000 bp)	1	1	2	1
# contigs (>= 10000 bp)	1	1	1	1
# contigs (>= 25000 bp)	1	1	1	1
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	37697	37697	37641	39943
Total length (>= 1000 bp)	37697	37697	37585	39943
Total length (>= 5000 bp)	37697	37697	37585	37697
Total length (>= 10000 bp)	37697	37697	32141	37697
Total length (>= 25000 bp)	37697	37697	32141	37697
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	3	2
Largest contig	37697	37697	32141	37697
Total length	37697	37697	37641	39943
Reference length	39943	39943	39943	39943
GC (%)	41.18	41.18	41.16	41.92
Reference GC (%)	41.92	41.92	41.92	41.92
N50	37697	37697	32141	37697
NG50	37697	37697	32141	37697
N75	37697	37697	32141	37697
NG75	37697	37697	32141	37697
L50	1	1	1	1
LG50	1	1	1	1
L75	1	1	1	1
LG75	1	1	1	1
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	1 + 0 part	0 + 0 part
Unaligned length	0	0	56	0
Genome fraction (%)	94.377	94.377	94.097	100.000
Duplication ratio	1.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	0.00	0.00	0.00
# indels per 100 kbp	0.00	0.00	0.00	0.00
Largest alignment	37697	37697	32141	37697
Total aligned length	37697	37697	37585	39943
NA50	37697	37697	32141	37697
NGA50	37697	37697	32141	37697
NA75	37697	37697	32141	37697
NGA75	37697	37697	32141	37697
LA50	1	1	1	1
LGA50	1	1	1	1
LA75	1	1	1	1
LGA75	1	1	1	1
