Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	6	84	85	4
# contigs (>= 1000 bp)	6	29	23	4
# contigs (>= 5000 bp)	6	15	11	4
# contigs (>= 10000 bp)	5	8	6	3
# contigs (>= 25000 bp)	3	1	3	1
# contigs (>= 50000 bp)	3	0	1	0
Total length (>= 0 bp)	227626	227626	268021	66461
Total length (>= 1000 bp)	227626	207457	250733	66461
Total length (>= 5000 bp)	227626	176986	211597	66461
Total length (>= 10000 bp)	222518	126737	170857	58178
Total length (>= 25000 bp)	187882	35121	116456	35121
Total length (>= 50000 bp)	187882	0	58972	0
# contigs	6	84	85	4
Largest contig	64906	35121	58972	35121
Total length	227626	227626	268021	66461
Reference length	116529	116529	116529	116529
GC (%)	48.84	48.84	47.96	43.61
Reference GC (%)	50.65	50.65	50.65	50.65
N50	63289	10869	24727	35121
NG50	64906	16356	58972	8283
N75	59687	5236	8283	10886
NG75	63289	12171	30469	-
L50	2	7	4	1
LG50	1	3	1	4
L75	3	14	10	3
LG75	2	5	2	-
# misassemblies	10	0	0	0
# misassembled contigs	2	0	0	0
Misassembled contigs length	128195	0	0	0
# local misassemblies	0	0	0	0
# unaligned mis. contigs	1	0	0	0
# unaligned contigs	2 + 2 part	31 + 0 part	62 + 1 part	2 + 0 part
Unaligned length	92861	92937	154957	47292
Genome fraction (%)	99.545	99.483	99.953	16.450
Duplication ratio	1.206	1.769	1.059	1.000
# N's per 100 kbp	0.00	0.00	110.07	0.00
# mismatches per 100 kbp	10.35	3.45	10.30	0.00
# indels per 100 kbp	2.59	1.73	1.72	0.00
Largest alignment	31438	17903	30469	10886
Total aligned length	134765	134685	113064	19169
NA50	5108	2600	-	-
NGA50	17944	8290	12982	-
NGA75	9671	8031	5488	-
LA50	9	15	-	-
LGA50	3	5	3	-
LGA75	5	8	7	-
