Assembly	greedy	greedy_contigs	plasmidSPAdes	mob_recon
# contigs (>= 0 bp)	7	88	196	4
# contigs (>= 1000 bp)	7	23	15	4
# contigs (>= 5000 bp)	4	3	4	3
# contigs (>= 10000 bp)	3	2	2	3
# contigs (>= 25000 bp)	2	2	1	3
# contigs (>= 50000 bp)	1	0	0	0
Total length (>= 0 bp)	145059	145059	110725	115626
Total length (>= 1000 bp)	145059	116353	81905	115626
Total length (>= 5000 bp)	133601	69597	51941	111240
Total length (>= 10000 bp)	128330	64453	40052	111240
Total length (>= 25000 bp)	110882	64453	27456	111240
Total length (>= 50000 bp)	72370	0	0	0
# contigs	7	88	196	4
Largest contig	72370	35866	27456	46787
Total length	145059	145059	110725	115626
Reference length	276338	276338	276338	276338
GC (%)	52.02	52.02	50.84	50.28
Reference GC (%)	50.53	50.53	50.53	50.53
N50	38512	4386	4437	35866
NG50	3654	399	-	-
N75	38512	1314	820	28587
L50	2	4	5	2
LG50	6	56	-	-
L75	2	17	17	3
# misassemblies	14	0	0	0
# misassembled contigs	3	0	0	0
Misassembled contigs length	128330	0	0	0
# local misassemblies	2	0	1	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	2 + 0 part	70 + 1 part	0 + 0 part
Unaligned length	0	74	27634	0
Genome fraction (%)	54.155	56.169	36.417	41.842
Duplication ratio	1.461	2.157	1.072	1.000
# N's per 100 kbp	0.00	0.00	86.70	0.00
# mismatches per 100 kbp	75.72	40.59	53.66	0.00
# indels per 100 kbp	6.03	0.64	0.00	0.00
Largest alignment	37589	35866	27456	46787
Total aligned length	144587	144985	82935	115626
NA50	6991	4386	1973	35866
NGA50	3007	399	-	-
NA75	5090	1314	-	28587
LA50	3	4	9	2
LGA50	16	56	-	-
LA75	9	17	-	3
